timestamp,mode,nodes,np,paired_nodes,exp,n_bodies,parts,gpu_lanes,rep_kind,rep_idx,time_us,run_ok,notes
2026-03-27T00:49:31Z,ms,3,3,2,18,524288,2,2,warmup,1,3780740.248000,1,
2026-03-27T00:50:00Z,ms,3,3,2,18,524288,2,2,warmup,2,3793710.363000,1,
2026-03-27T00:50:29Z,ms,3,3,2,18,524288,2,2,warmup,3,3795420.670000,1,
2026-03-27T00:50:58Z,ms,3,3,2,18,524288,2,2,timed,1,3798281.420000,1,
2026-03-27T00:51:28Z,ms,3,3,2,18,524288,2,2,timed,2,3804338.116000,1,
2026-03-27T00:51:58Z,ms,3,3,2,18,524288,8,2,warmup,1,4502101.859000,1,
2026-03-27T00:52:28Z,ms,3,3,2,18,524288,8,2,warmup,2,4520738.972000,1,
2026-03-27T00:52:57Z,ms,3,3,2,18,524288,8,2,warmup,3,4522546.104000,1,
2026-03-27T00:53:27Z,ms,3,3,2,18,524288,8,2,timed,1,4522827.572000,1,
2026-03-27T00:53:57Z,ms,3,3,2,18,524288,8,2,timed,2,4511521.685000,1,
2026-03-27T00:54:36Z,ms,3,3,2,19,1048576,2,2,warmup,1,14442819.881000,1,
2026-03-27T00:55:16Z,ms,3,3,2,19,1048576,2,2,warmup,2,14483358.616000,1,
2026-03-27T00:55:56Z,ms,3,3,2,19,1048576,2,2,warmup,3,14564038.324000,1,
2026-03-27T00:56:36Z,ms,3,3,2,19,1048576,2,2,timed,1,14527926.421000,1,
2026-03-27T00:57:16Z,ms,3,3,2,19,1048576,2,2,timed,2,14600110.599000,1,
2026-03-27T00:57:55Z,ms,3,3,2,19,1048576,8,2,warmup,1,14541987.960000,1,
2026-03-27T00:58:35Z,ms,3,3,2,19,1048576,8,2,warmup,2,14608061.687000,1,
2026-03-27T00:59:15Z,ms,3,3,2,19,1048576,8,2,warmup,3,14517985.884000,1,
2026-03-27T00:59:55Z,ms,3,3,2,19,1048576,8,2,timed,1,14607970.934000,1,
2026-03-27T01:00:35Z,ms,3,3,2,19,1048576,8,2,timed,2,14543339.179000,1,
