mode,nodes,paired_nodes,exp,n_bodies,parts,gpu_lanes,samples,mean_us,min_us,max_us,stddev_us
ms,9,8,18,524288,8,8,2,2284508.928000,2281101.259000,2287916.597000,3407.669000
ms,9,8,18,524288,32,8,2,3019374.947500,3016238.307000,3022511.588000,3136.640500
ms,9,8,19,1048576,8,8,2,5098055.664500,5094456.116000,5101655.213000,3599.548501
ms,9,8,19,1048576,32,8,2,5897016.576500,5891645.427000,5902387.726000,5371.149500
ms,9,8,20,2097152,8,8,2,16765445.177000,16734266.539000,16796623.815000,31178.638000
ms,9,8,20,2097152,32,8,2,19397148.824500,19387064.108000,19407233.541000,10084.716496
