timestamp,mode,nodes,np,paired_nodes,exp,n_bodies,parts,gpu_lanes,rep_kind,rep_idx,time_us,run_ok,notes
2026-03-27T03:27:07Z,ms,9,9,8,18,524288,8,8,warmup,1,2285602.237000,1,
2026-03-27T03:28:04Z,ms,9,9,8,18,524288,8,8,timed,1,2281101.259000,1,
2026-03-27T03:28:59Z,ms,9,9,8,18,524288,8,8,timed,2,2287916.597000,1,
2026-03-27T03:29:55Z,ms,9,9,8,18,524288,32,8,warmup,1,3001037.387000,1,
2026-03-27T03:30:53Z,ms,9,9,8,18,524288,32,8,timed,1,3016238.307000,1,
2026-03-27T03:31:49Z,ms,9,9,8,18,524288,32,8,timed,2,3022511.588000,1,
2026-03-27T03:32:47Z,ms,9,9,8,19,1048576,8,8,warmup,1,5094706.777000,1,
2026-03-27T03:33:47Z,ms,9,9,8,19,1048576,8,8,timed,1,5101655.213000,1,
2026-03-27T03:34:45Z,ms,9,9,8,19,1048576,8,8,timed,2,5094456.116000,1,
2026-03-27T03:35:44Z,ms,9,9,8,19,1048576,32,8,warmup,1,5883153.151000,1,
2026-03-27T03:36:44Z,ms,9,9,8,19,1048576,32,8,timed,1,5891645.427000,1,
2026-03-27T03:37:45Z,ms,9,9,8,19,1048576,32,8,timed,2,5902387.726000,1,
2026-03-27T03:38:57Z,ms,9,9,8,20,2097152,8,8,warmup,1,16710705.540000,1,
2026-03-27T03:40:09Z,ms,9,9,8,20,2097152,8,8,timed,1,16734266.539000,1,
2026-03-27T03:41:21Z,ms,9,9,8,20,2097152,8,8,timed,2,16796623.815000,1,
2026-03-27T03:42:35Z,ms,9,9,8,20,2097152,32,8,warmup,1,19400748.984000,1,
2026-03-27T03:43:50Z,ms,9,9,8,20,2097152,32,8,timed,1,19387064.108000,1,
2026-03-27T03:45:04Z,ms,9,9,8,20,2097152,32,8,timed,2,19407233.541000,1,
