mode,nodes,paired_nodes,exp,n_bodies,parts,gpu_lanes,samples,mean_us,min_us,max_us,stddev_us
mpi,4,5,18,524288,4,4,2,1869349.892500,1867860.959000,1870838.826000,1488.933500
mpi,4,5,18,524288,16,4,2,2185145.425500,2183411.658000,2186879.193000,1733.767500
mpi,4,5,19,1048576,4,4,2,7263307.212500,7243670.472000,7282943.953000,19636.740500
mpi,4,5,19,1048576,16,4,2,8597621.990500,8593045.070000,8602198.911000,4576.920502
mpi,4,5,20,2097152,4,4,2,29289800.370500,29285340.156000,29294260.585000,4460.214513
mpi,4,5,20,2097152,16,4,2,29507622.038500,29507616.545000,29507627.532000,5.488625
