timestamp,mode,nodes,np,paired_nodes,exp,n_bodies,parts,gpu_lanes,rep_kind,rep_idx,time_us,run_ok,notes
2026-03-29T18:42:31Z,mpi,4,4,5,18,524288,4,4,warmup,1,1869801.184000,1,
2026-03-29T18:43:02Z,mpi,4,4,5,18,524288,4,4,timed,1,1867860.959000,1,
2026-03-29T18:43:31Z,mpi,4,4,5,18,524288,4,4,timed,2,1870838.826000,1,
2026-03-29T18:44:03Z,mpi,4,4,5,18,524288,16,4,warmup,1,2175835.274000,1,
2026-03-29T18:44:33Z,mpi,4,4,5,18,524288,16,4,timed,1,2186879.193000,1,
2026-03-29T18:45:04Z,mpi,4,4,5,18,524288,16,4,timed,2,2183411.658000,1,
2026-03-29T18:45:39Z,mpi,4,4,5,19,1048576,4,4,warmup,1,7257509.110000,1,
2026-03-29T18:46:15Z,mpi,4,4,5,19,1048576,4,4,timed,1,7243670.472000,1,
2026-03-29T18:46:51Z,mpi,4,4,5,19,1048576,4,4,timed,2,7282943.953000,1,
2026-03-29T18:47:01Z,mpi,4,4,5,19,1048576,16,4,warmup,1,8603142.421000,1,
2026-03-29T18:47:39Z,mpi,4,4,5,19,1048576,16,4,timed,1,8602198.911000,1,
2026-03-29T18:48:15Z,mpi,4,4,5,19,1048576,16,4,timed,2,8593045.070000,1,
2026-03-29T18:49:13Z,mpi,4,4,5,20,2097152,4,4,warmup,1,29013634.173000,1,
2026-03-29T18:50:11Z,mpi,4,4,5,20,2097152,4,4,timed,1,29285340.156000,1,
2026-03-29T18:51:09Z,mpi,4,4,5,20,2097152,4,4,timed,2,29294260.585000,1,
2026-03-29T18:52:07Z,mpi,4,4,5,20,2097152,16,4,warmup,1,29466192.581000,1,
2026-03-29T18:53:05Z,mpi,4,4,5,20,2097152,16,4,timed,1,29507616.545000,1,
2026-03-29T18:54:03Z,mpi,4,4,5,20,2097152,16,4,timed,2,29507627.532000,1,
