mode,nodes,paired_nodes,exp,n_bodies,parts,gpu_lanes,samples,mean_us,min_us,max_us,stddev_us
ms,5,4,18,524288,4,4,2,2266976.477500,2264238.915000,2269714.040000,2737.562500
ms,5,4,18,524288,16,4,2,2626883.351500,2623982.844000,2629783.859000,2900.507500
ms,5,4,19,1048576,4,4,2,7692010.201500,7687345.629000,7696674.774000,4664.572498
ms,5,4,19,1048576,16,4,2,9099346.301500,9089726.231000,9108966.372000,9620.070500
ms,5,4,20,2097152,4,4,2,29611524.290000,29546803.178000,29676245.402000,64721.112000
ms,5,4,20,2097152,16,4,2,29724034.772000,29703862.724000,29744206.820000,20172.047997
