mode,nodes,paired_nodes,exp,n_bodies,parts,gpu_lanes,samples,mean_us,min_us,max_us,stddev_us
mpi,2,3,18,524288,2,2,2,3659948.390500,3659750.715000,3660146.066000,197.675505
mpi,2,3,18,524288,8,2,2,4357476.132500,4356212.289000,4358739.976000,1263.843498
mpi,2,3,19,1048576,2,2,2,14642041.173000,14626411.215000,14657671.131000,15629.957999
mpi,2,3,19,1048576,8,2,2,14648222.023000,14642353.889000,14654090.157000,5868.134001
mpi,2,3,20,2097152,2,2,2,59585262.685000,59505125.080000,59665400.290000,80137.604999
mpi,2,3,20,2097152,8,2,2,59420704.823500,59367354.540000,59474055.107000,53350.283504
