timestamp,mode,nodes,np,paired_nodes,exp,n_bodies,parts,gpu_lanes,rep_kind,rep_idx,time_us,run_ok,notes
2026-03-29T14:56:43Z,mpi,2,2,3,18,524288,2,2,warmup,1,3655766.947000,1,
2026-03-29T14:57:07Z,mpi,2,2,3,18,524288,2,2,timed,1,3659750.715000,1,
2026-03-29T14:57:32Z,mpi,2,2,3,18,524288,2,2,timed,2,3660146.066000,1,
2026-03-29T14:57:56Z,mpi,2,2,3,18,524288,8,2,warmup,1,4353062.406000,1,
2026-03-29T14:58:21Z,mpi,2,2,3,18,524288,8,2,timed,1,4358739.976000,1,
2026-03-29T14:58:46Z,mpi,2,2,3,18,524288,8,2,timed,2,4356212.289000,1,
2026-03-29T14:59:21Z,mpi,2,2,3,19,1048576,2,2,warmup,1,14587625.157000,1,
2026-03-29T14:59:56Z,mpi,2,2,3,19,1048576,2,2,timed,1,14626411.215000,1,
2026-03-29T15:00:31Z,mpi,2,2,3,19,1048576,2,2,timed,2,14657671.131000,1,
2026-03-29T15:01:06Z,mpi,2,2,3,19,1048576,8,2,warmup,1,14575777.465000,1,
2026-03-29T15:01:41Z,mpi,2,2,3,19,1048576,8,2,timed,1,14642353.889000,1,
2026-03-29T15:02:16Z,mpi,2,2,3,19,1048576,8,2,timed,2,14654090.157000,1,
2026-03-29T15:03:35Z,mpi,2,2,3,20,2097152,2,2,warmup,1,59192675.375000,1,
2026-03-29T15:04:55Z,mpi,2,2,3,20,2097152,2,2,timed,1,59665400.290000,1,
2026-03-29T15:06:16Z,mpi,2,2,3,20,2097152,2,2,timed,2,59505125.080000,1,
2026-03-29T15:07:36Z,mpi,2,2,3,20,2097152,8,2,warmup,1,59497925.102000,1,
2026-03-29T15:08:56Z,mpi,2,2,3,20,2097152,8,2,timed,1,59474055.107000,1,
2026-03-29T15:10:16Z,mpi,2,2,3,20,2097152,8,2,timed,2,59367354.540000,1,
