mode,nodes,paired_nodes,exp,n_bodies,parts,gpu_lanes,samples,mean_us,min_us,max_us,stddev_us
ms,3,2,20,2097152,2,2,2,58408815.214000,58287148.791000,58530481.637000,121666.423002
ms,3,2,20,2097152,8,2,2,59264030.861000,59262514.938000,59265546.784000,1515.922986
