mode,nodes,paired_nodes,exp,n_bodies,parts,gpu_lanes,samples,mean_us,min_us,max_us,stddev_us
ms,2,1,18,524288,1,1,2,7304691.366500,7304357.638000,7305025.095000,333.728511
ms,2,1,18,524288,4,1,2,7307372.695500,7295266.198000,7319479.193000,12106.497500
ms,2,1,19,1048576,1,1,2,29404187.905000,29304672.863000,29503702.947000,99515.042000
ms,2,1,19,1048576,4,1,2,29624984.120500,29553478.241000,29696490.000000,71505.879501
ms,2,1,20,2097152,1,1,1,120535792.130000,120535792.130000,120535792.130000,0.000000
ms,2,1,20,2097152,4,1,2,120543932.782000,120436922.954000,120650942.610000,107009.827997
