timestamp,mode,nodes,np,paired_nodes,exp,n_bodies,parts,gpu_lanes,rep_kind,rep_idx,time_us,run_ok,notes
2026-03-29T23:48:05Z,ms,2,2,1,18,524288,1,1,warmup,1,7269705.746000,1,
2026-03-29T23:48:34Z,ms,2,2,1,18,524288,1,1,timed,1,7305025.095000,1,
2026-03-29T23:49:02Z,ms,2,2,1,18,524288,1,1,timed,2,7304357.638000,1,
2026-03-29T23:49:30Z,ms,2,2,1,18,524288,4,1,warmup,1,7301527.125000,1,
2026-03-29T23:49:58Z,ms,2,2,1,18,524288,4,1,timed,1,7319479.193000,1,
2026-03-29T23:50:26Z,ms,2,2,1,18,524288,4,1,timed,2,7295266.198000,1,
2026-03-29T23:51:16Z,ms,2,2,1,19,1048576,1,1,warmup,1,28927215.947000,1,
2026-03-29T23:52:06Z,ms,2,2,1,19,1048576,1,1,timed,1,29304672.863000,1,
2026-03-29T23:52:57Z,ms,2,2,1,19,1048576,1,1,timed,2,29503702.947000,1,
2026-03-29T23:53:47Z,ms,2,2,1,19,1048576,4,1,warmup,1,29558350.568000,1,
2026-03-29T23:54:38Z,ms,2,2,1,19,1048576,4,1,timed,1,29553478.241000,1,
2026-03-29T23:55:29Z,ms,2,2,1,19,1048576,4,1,timed,2,29696490.000000,1,
2026-03-29T23:57:49Z,ms,2,2,1,20,2097152,1,1,warmup,1,119401490.339000,1,
2026-03-29T23:58:05Z,ms,2,2,1,20,2097152,1,1,timed,1,119435647.314000,1,
2026-03-30T00:00:27Z,ms,2,2,1,20,2097152,1,1,timed,2,120535792.130000,1,
2026-03-30T00:02:49Z,ms,2,2,1,20,2097152,4,1,warmup,1,120573595.012000,1,
2026-03-30T00:05:10Z,ms,2,2,1,20,2097152,4,1,timed,1,120650942.610000,1,
2026-03-30T00:07:32Z,ms,2,2,1,20,2097152,4,1,timed,2,120436922.954000,1,
