timestamp,mode,nodes,np,paired_nodes,exp,n_bodies,parts,gpu_lanes,rep_kind,rep_idx,time_us,run_ok,notes
2026-03-29T23:13:05Z,mpi,1,1,2,18,524288,1,1,warmup,1,7113121.653000,1,
2026-03-29T23:13:29Z,mpi,1,1,2,18,524288,1,1,timed,1,7150562.583000,1,
2026-03-29T23:13:51Z,mpi,1,1,2,18,524288,1,1,timed,2,7110362.993000,1,
2026-03-29T23:14:14Z,mpi,1,1,2,18,524288,4,1,warmup,1,7151787.233000,1,
2026-03-29T23:14:37Z,mpi,1,1,2,18,524288,4,1,timed,1,7162687.240000,1,
2026-03-29T23:15:00Z,mpi,1,1,2,18,524288,4,1,timed,2,7179576.514000,1,
2026-03-29T23:15:45Z,mpi,1,1,2,19,1048576,1,1,warmup,1,29041991.082000,1,
2026-03-29T23:16:30Z,mpi,1,1,2,19,1048576,1,1,timed,1,29269249.352000,1,
2026-03-29T23:17:15Z,mpi,1,1,2,19,1048576,1,1,timed,2,29341969.458000,1,
2026-03-29T23:18:01Z,mpi,1,1,2,19,1048576,4,1,warmup,1,29411469.552000,1,
2026-03-29T23:18:46Z,mpi,1,1,2,19,1048576,4,1,timed,1,29552463.472000,1,
2026-03-29T23:19:32Z,mpi,1,1,2,19,1048576,4,1,timed,2,29624162.406000,1,
2026-03-29T23:21:46Z,mpi,1,1,2,20,2097152,1,1,warmup,1,118211390.520000,1,
2026-03-29T23:24:03Z,mpi,1,1,2,20,2097152,1,1,timed,1,120918979.529000,1,
2026-03-29T23:26:17Z,mpi,1,1,2,20,2097152,1,1,timed,2,118260931.258000,1,
2026-03-29T23:28:33Z,mpi,1,1,2,20,2097152,4,1,warmup,1,119850556.464000,1,
2026-03-29T23:30:47Z,mpi,1,1,2,20,2097152,4,1,timed,1,118655032.903000,1,
2026-03-29T23:33:02Z,mpi,1,1,2,20,2097152,4,1,timed,2,118803858.168000,1,
