mode,nodes,paired_nodes,exp,n_bodies,parts,gpu_lanes,samples,mean_us,min_us,max_us,stddev_us
mpi,1,2,18,524288,1,1,2,7130462.788000,7110362.993000,7150562.583000,20099.795000
mpi,1,2,18,524288,4,1,2,7171131.877000,7162687.240000,7179576.514000,8444.637000
mpi,1,2,19,1048576,1,1,2,29305609.405000,29269249.352000,29341969.458000,36360.053001
mpi,1,2,19,1048576,4,1,2,29588312.939000,29552463.472000,29624162.406000,35849.467001
mpi,1,2,20,2097152,1,1,2,119589955.393500,118260931.258000,120918979.529000,1329024.135499
mpi,1,2,20,2097152,4,1,2,118729445.535500,118655032.903000,118803858.168000,74412.632516
