timestamp,mode,nodes,np,paired_nodes,exp,n_bodies,parts,gpu_lanes,rep_kind,rep_idx,time_us,run_ok,notes
2026-03-29T19:07:29Z,mpi,8,8,9,18,524288,8,8,warmup,1,1415207.020000,1,
2026-03-29T19:08:16Z,mpi,8,8,9,18,524288,8,8,timed,1,1420731.104000,1,
2026-03-29T19:09:02Z,mpi,8,8,9,18,524288,8,8,timed,2,1405522.177000,1,
2026-03-29T19:09:50Z,mpi,8,8,9,18,524288,32,8,warmup,1,2029171.718000,1,
2026-03-29T19:10:37Z,mpi,8,8,9,18,524288,32,8,timed,1,2037163.506000,1,
2026-03-29T19:11:23Z,mpi,8,8,9,18,524288,32,8,timed,2,2037489.808000,1,
2026-03-29T19:12:13Z,mpi,8,8,9,19,1048576,8,8,warmup,1,4221498.052000,1,
2026-03-29T19:13:03Z,mpi,8,8,9,19,1048576,8,8,timed,1,4111862.838000,1,
2026-03-29T19:13:52Z,mpi,8,8,9,19,1048576,8,8,timed,2,4206394.807000,1,
2026-03-29T19:14:31Z,mpi,8,8,9,19,1048576,32,8,warmup,1,4756437.131000,1,
2026-03-29T19:15:21Z,mpi,8,8,9,19,1048576,32,8,timed,1,4848656.195000,1,
2026-03-29T19:16:10Z,mpi,8,8,9,19,1048576,32,8,timed,2,4753005.593000,1,
2026-03-29T19:17:12Z,mpi,8,8,9,20,2097152,8,8,warmup,1,15941787.433000,1,
2026-03-29T19:18:13Z,mpi,8,8,9,20,2097152,8,8,timed,1,15864052.385000,1,
2026-03-29T19:19:15Z,mpi,8,8,9,20,2097152,8,8,timed,2,15954952.930000,1,
2026-03-29T19:20:20Z,mpi,8,8,9,20,2097152,32,8,warmup,1,18359744.522000,1,
2026-03-29T19:21:24Z,mpi,8,8,9,20,2097152,32,8,timed,1,18393282.399000,1,
2026-03-29T19:22:29Z,mpi,8,8,9,20,2097152,32,8,timed,2,18349269.745000,1,
