mode,nodes,paired_nodes,exp,n_bodies,parts,gpu_lanes,samples,mean_us,min_us,max_us,stddev_us
mpi,8,9,18,524288,8,8,2,1413126.640500,1405522.177000,1420731.104000,7604.463500
mpi,8,9,18,524288,32,8,2,2037326.657000,2037163.506000,2037489.808000,163.150998
mpi,8,9,19,1048576,8,8,2,4159128.822500,4111862.838000,4206394.807000,47265.984500
mpi,8,9,19,1048576,32,8,2,4800830.894000,4753005.593000,4848656.195000,47825.301000
mpi,8,9,20,2097152,8,8,2,15909502.657500,15864052.385000,15954952.930000,45450.272500
mpi,8,9,20,2097152,32,8,2,18371276.072000,18349269.745000,18393282.399000,22006.326999
